position,entry_time,exit_time,duration,color
"(267, 434)",1718177019.71,1718177022.25,2.53,Gray
"(1014, 256)",1718177019.71,1718177022.54,2.83,Blue
"(858, 174)",1718177019.71,1718177022.83,3.12,Green
"(949, 215)",1718177020.26,1718177024.81,4.54,White
"(266, 461)",1718177022.25,1718177025.09,2.84,Blue
"(857, 128)",1718177023.96,1718177026.77,2.81,White
"(859, 419)",1718177018.71,1718177026.77,8.06,Red
"(555, 297)",1718177019.71,1718177026.77,7.06,Red
"(949, 277)",1718177019.44,1718177027.09,7.65,Red
"(266, 571)",1718177018.6,1718177027.67,9.07,Red
"(674, 264)",1718177022.54,1718177027.97,5.42,White
"(950, 292)",1718177026.49,1718177028.54,2.05,Red
"(1014, 302)",1718177027.39,1718177029.71,2.32,White
"(555, 297)",1718177027.09,1718177029.71,2.63,Red
"(923, 323)",1718177019.71,1718177030.55,10.84,White
"(949, 277)",1718177027.39,1718177031.11,3.72,Red
"(266, 461)",1718177028.54,1718177032.82,4.29,Gray
"(739, 481)",1718177018.71,1718177033.11,14.4,Red
"(949, 215)",1718177031.11,1718177033.97,2.85,Gray
"(830, 219)",1718177018.71,1718177033.97,15.25,Blue
"(857, 128)",1718177031.95,1718177034.26,2.3,Red
"(555, 297)",1718177031.11,1718177035.1,3.99,Red
"(1107, 117)",1718177019.71,1718177035.94,16.23,White
"(766, 481)",1718177031.67,1718177037.06,5.38,Blue
"(266, 461)",1718177033.41,1718177037.06,3.65,Gray
"(267, 434)",1718177026.49,1718177038.76,12.27,Gray
"(950, 262)",1718177018.93,1718177039.03,20.1,Blue
"(857, 159)",1718177036.78,1718177039.33,2.55,Gray
"(1107, 117)",1718177037.34,1718177040.15,2.81,White
"(857, 204)",1718177019.44,1718177040.15,20.71,Red
"(674, 264)",1718177031.95,1718177040.15,8.2,White
"(1014, 256)",1718177038.18,1718177040.44,2.26,Violet
"(857, 128)",1718177034.83,1718177040.72,5.89,White
"(553, 266)",1718177018.93,1718177040.72,21.79,Violet
"(830, 219)",1718177035.94,1718177041.55,5.61,Blue
"(949, 215)",1718177039.87,1718177042.67,2.8,White
"(949, 277)",1718177033.41,1718177042.95,9.55,Green
"(949, 277)",1718177043.24,1718177046.31,3.07,White
"(833, 604)",1718177019.71,1718177047.15,27.43,Green
"(645, 450)",1718177039.87,1718177047.15,7.27,White
"(1107, 117)",1718177041.83,1718177047.43,5.59,White
"(857, 204)",1718177046.59,1718177048.83,2.24,Red
"(949, 277)",1718177046.87,1718177049.68,2.81,White
"(555, 297)",1718177038.76,1718177049.68,10.92,Red
"(171, 522)",1718177018.71,1718177049.68,30.97,Blue
"(674, 264)",1718177043.24,1718177051.35,8.11,White
"(266, 461)",1718177037.89,1718177051.35,13.46,Gray
"(1014, 240)",1718177018.71,1718177052.21,33.5,Gray
"(765, 112)",1718177018.71,1718177052.21,33.5,White
"(949, 215)",1718177043.51,1718177053.62,10.1,White
"(581, 514)",1718177053.06,1718177055.33,2.27,Green
"(857, 159)",1718177039.87,1718177056.75,16.88,Blue
"(949, 215)",1718177054.17,1718177057.03,2.86,White
"(1107, 117)",1718177047.71,1718177058.14,10.43,White
"(857, 128)",1718177049.68,1718177058.71,9.03,Red
"(645, 465)",1718177018.71,1718177059.55,40.84,Red
"(857, 204)",1718177058.71,1718177061.22,2.51,Red
"(645, 450)",1718177059.0,1718177062.88,3.89,White
"(949, 215)",1718177059.0,1718177063.16,4.16,White
"(857, 128)",1718177061.22,1718177063.44,2.22,Red
"(949, 277)",1718177055.91,1718177064.26,8.35,Green
"(857, 204)",1718177062.32,1718177065.1,2.78,Red
"(674, 310)",1718177019.71,1718177068.5,48.78,Red
"(1014, 256)",1718177066.81,1718177070.7,3.89,Violet
"(950, 231)",1718177018.71,1718177070.97,52.26,White
"(857, 204)",1718177067.09,1718177071.25,4.16,Red
"(645, 450)",1718177069.05,1718177071.25,2.2,White
"(949, 215)",1718177064.26,1718177071.53,7.27,Red
"(949, 277)",1718177065.38,1718177072.36,6.98,Green
"(857, 159)",1718177069.88,1718177073.2,3.32,Blue
"(1014, 302)",1718177064.54,1718177074.02,9.48,White
"(923, 323)",1718177030.83,1718177074.3,43.47,White
"(487, 367)",1718177018.71,1718177076.01,57.3,Blue
"(857, 159)",1718177073.76,1718177076.85,3.1,Red
"(674, 310)",1718177069.05,1718177077.42,8.36,Red
"(171, 506)",1718177018.6,1718177079.36,60.76,Red
"(833, 604)",1718177047.99,1718177080.49,32.5,Green
"(857, 128)",1718177066.52,1718177080.49,13.97,Red
"(581, 499)",1718177074.58,1718177080.49,5.91,Blue
"(857, 204)",1718177078.54,1718177081.6,3.05,Red
"(924, 525)",1718177018.71,1718177083.28,64.57,Blue
"(861, 604)",1718177018.71,1718177083.28,64.57,Black
"(858, 174)",1718177023.96,1718177083.56,59.59,Green
"(949, 277)",1718177074.3,1718177084.4,10.09,Green
"(949, 215)",1718177074.02,1718177085.51,11.49,Red
"(266, 461)",1718177081.6,1718177087.21,5.61,Gray
"(99, 560)",1718177018.6,1718177089.16,70.56,White
"(949, 277)",1718177084.95,1718177089.44,4.49,Green
"(830, 234)",1718177018.71,1718177091.67,72.95,Blue
"(645, 450)",1718177072.63,1718177091.67,19.03,White
"(923, 323)",1718177075.16,1718177091.95,16.79,Red
"(581, 499)",1718177083.0,1718177092.23,9.23,Gray
"(950, 111)",1718177018.93,1718177092.5,73.57,Red
"(765, 204)",1718177019.18,1718177092.5,73.32,White
"(646, 249)",1718177019.18,1718177092.5,73.32,White
"(948, 141)",1718177018.93,1718177092.79,73.85,Red
"(674, 310)",1718177077.97,1718177093.07,15.1,Red
"(1040, 165)",1718177019.71,1718177093.35,73.64,White
"(1041, 271)",1718177018.93,1718177093.35,74.42,Green
"(295, 462)",1718177091.67,1718177094.19,2.52,Green
"(646, 419)",1718177018.6,1718177094.46,75.86,White
"(384, 586)",1718177019.71,1718177094.46,74.75,White
"(858, 174)",1718177092.5,1718177095.28,2.78,Red
"(857, 159)",1718177093.35,1718177095.55,2.2,Red
"(1014, 256)",1718177073.76,1718177095.82,22.06,Blue
"(645, 450)",1718177093.63,1718177095.82,2.19,White
"(1040, 165)",1718177093.63,1718177096.37,2.74,White
"(950, 111)",1718177093.35,1718177096.92,3.57,Red
"(1108, 210)",1718177019.44,1718177097.18,77.74,Red
"(765, 204)",1718177094.19,1718177097.45,3.26,White
"(674, 310)",1718177095.28,1718177099.07,3.78,White
"(1042, 348)",1718177096.92,1718177099.61,2.69,Red
"(923, 323)",1718177097.98,1718177100.15,2.17,Red
"(645, 450)",1718177098.25,1718177100.71,2.46,White
"(1014, 256)",1718177096.1,1718177101.25,5.15,Blue
"(384, 586)",1718177099.07,1718177102.05,2.99,Red
"(674, 264)",1718177100.15,1718177102.59,2.44,Gray
"(1042, 348)",1718177101.25,1718177103.94,2.69,Red
"(1108, 210)",1718177100.43,1718177103.94,3.51,Red
"(646, 496)",1718177018.71,1718177104.49,85.78,White
"(645, 450)",1718177104.75,1718177107.73,2.98,White
"(1108, 210)",1718177106.38,1718177109.08,2.7,Red
"(1014, 256)",1718177102.59,1718177110.72,8.13,Blue
"(1042, 348)",1718177106.66,1718177110.72,4.06,Red
"(923, 323)",1718177103.13,1718177110.72,7.59,Red
"(857, 250)",1718177101.79,1718177111.25,9.46,Blue
"(384, 586)",1718177108.81,1718177112.95,4.14,Red
"(674, 264)",1718177102.86,1718177113.22,10.35,Gray
"(581, 342)",1718177018.71,1718177113.48,94.77,Red
"(1108, 210)",1718177112.4,1718177114.82,2.42,Red
"(1042, 348)",1718177112.13,1718177115.08,2.95,Red
"(922, 215)",1718177018.71,1718177115.61,96.9,Red
"(646, 496)",1718177112.68,1718177115.89,3.22,White
"(857, 159)",1718177096.1,1718177116.43,20.34,Gray
"(674, 310)",1718177114.82,1718177116.97,2.15,Red
"(384, 586)",1718177114.29,1718177117.51,3.22,White
"(1108, 210)",1718177115.35,1718177118.89,3.55,Red
"(294, 586)",1718177018.6,1718177119.99,101.39,White
"(923, 323)",1718177111.51,1718177121.05,9.54,Red
"(384, 586)",1718177117.77,1718177122.13,4.36,Red
"(830, 295)",1718177018.93,1718177122.97,104.04,White
"(581, 342)",1718177119.99,1718177124.31,4.31,Red
"(832, 558)",1718177018.71,1718177124.58,105.87,Blue
"(1014, 317)",1718177018.71,1718177125.97,107.26,Red
"(1108, 210)",1718177124.03,1718177126.51,2.48,Red
"(581, 342)",1718177124.58,1718177126.77,2.19,Red
"(459, 384)",1718177018.6,1718177127.57,108.97,Gray
"(1041, 271)",1718177094.19,1718177128.66,34.47,Green
"(923, 323)",1718177125.67,1718177128.66,2.98,Red
"(295, 462)",1718177125.67,1718177128.66,2.98,Blue
"(830, 295)",1718177123.24,1718177128.94,5.7,White
"(674, 310)",1718177121.59,1718177131.1,9.51,White
"(384, 586)",1718177128.94,1718177131.37,2.43,Red
"(739, 310)",1718177018.71,1718177131.91,113.2,Red
"(1108, 210)",1718177127.31,1718177132.72,5.41,Red
"(923, 323)",1718177128.94,1718177134.09,5.15,Red
"(267, 434)",1718177039.03,1718177135.43,96.39,Gray
"(674, 264)",1718177113.48,1718177138.63,25.15,White
"(923, 323)",1718177134.35,1718177138.89,4.54,Red
"(1041, 271)",1718177128.94,1718177139.69,10.75,Green
"(1014, 256)",1718177112.4,1718177141.82,29.42,Gray
"(923, 323)",1718177139.96,1718177142.1,2.14,Red
"(553, 545)",1718177018.6,1718177142.38,123.77,Black
"(949, 215)",1718177140.74,1718177144.01,3.27,White
"(1042, 348)",1718177141.28,1718177145.14,3.87,Red
"(674, 310)",1718177131.37,1718177145.14,13.78,White
"(384, 586)",1718177142.66,1718177145.14,2.49,Red
"(1014, 256)",1718177144.57,1718177146.77,2.2,Violet
"(674, 264)",1718177141.28,1718177147.59,6.31,White
"(858, 174)",1718177096.92,1718177147.85,50.94,Green
"(294, 433)",1718177018.6,1718177150.07,131.46,Blue
"(1014, 256)",1718177147.31,1718177150.88,3.57,Blue
"(460, 429)",1718177018.6,1718177151.46,132.85,Blue
"(923, 323)",1718177145.14,1718177151.75,6.61,Red
"(459, 384)",1718177149.48,1718177151.75,2.27,Blue
"(949, 215)",1718177146.49,1718177152.29,5.8,Red
"(581, 342)",1718177148.66,1718177152.84,4.17,Red
"(923, 430)",1718177018.71,1718177154.73,136.01,Blue
"(267, 434)",1718177139.43,1718177155.53,16.11,Blue
"(739, 356)",1718177018.71,1718177156.06,137.35,Red
"(923, 323)",1718177152.56,1718177159.08,6.52,Red
"(922, 200)",1718177018.93,1718177160.97,142.03,Red
"(1042, 348)",1718177158.79,1718177161.78,2.99,Red
"(859, 419)",1718177148.66,1718177164.28,15.62,Red
"(674, 264)",1718177148.66,1718177164.55,15.88,White
"(949, 215)",1718177159.91,1718177165.09,5.18,Red
"(1014, 302)",1718177125.13,1718177165.63,40.5,White
"(1040, 165)",1718177098.53,1718177165.9,67.37,White
"(830, 295)",1718177131.91,1718177166.18,34.27,White
"(1014, 256)",1718177151.46,1718177166.45,14.99,Violet
"(674, 310)",1718177151.17,1718177166.45,15.27,Red
"(674, 264)",1718177164.82,1718177166.99,2.16,White
"(950, 111)",1718177097.18,1718177167.52,70.34,Red
"(1041, 271)",1718177141.28,1718177168.06,26.79,Green
"(766, 465)",1718177018.93,1718177168.32,149.39,Red
"(923, 323)",1718177161.51,1718177168.59,7.08,Red
"(949, 186)",1718177018.93,1718177168.59,149.66,Red
"(831, 388)",1718177018.93,1718177169.38,150.45,Black
"(765, 204)",1718177097.98,1718177169.93,71.95,White
"(949, 307)",1718177018.71,1718177170.72,152.01,Red
"(738, 157)",1718177018.93,1718177170.98,152.05,Red
"(266, 509)",1718177018.71,1718177170.98,152.27,Black
"(581, 342)",1718177162.92,1718177171.51,8.59,Red
"(647, 341)",1718177018.93,1718177171.77,152.84,White
"(1014, 302)",1718177167.8,1718177172.13,4.33,White
"(295, 478)",1718177168.06,1718177172.66,4.6,White
"(1012, 195)",1718177169.93,1718177173.19,3.26,White
"(1108, 210)",1718177166.18,1718177175.29,9.12,Red
"(923, 323)",1718177173.19,1718177175.29,2.1,Red
"(765, 204)",1718177171.51,1718177175.55,4.04,Red
"(95, 623)",1718177018.71,1718177176.34,157.63,White
"(948, 126)",1718177018.71,1718177176.87,158.15,Red
"(923, 430)",1718177174.76,1718177178.43,3.67,Green
"(1014, 256)",1718177175.02,1718177178.94,3.92,Violet
"(294, 586)",1718177176.87,1718177178.94,2.07,Red
"(766, 295)",1718177018.71,1718177179.73,161.02,White
"(921, 140)",1718177018.93,1718177180.8,161.86,Red
"(923, 323)",1718177179.2,1718177182.66,3.45,Red
"(923, 323)",1718177184.14,1718177188.16,4.02,Red
"(1012, 195)",1718177185.47,1718177188.42,2.95,White
"(580, 281)",1718177019.18,1718177188.94,169.76,White
"(1012, 210)",1718177018.93,1718177190.77,171.84,Gray
"(1108, 210)",1718177176.34,1718177191.28,14.94,Red
"(921, 140)",1718177183.57,1718177191.28,7.72,Red
"(923, 323)",1718177188.42,1718177191.28,2.86,Red
"(923, 430)",1718177182.39,1718177191.28,8.89,Green
"(1012, 195)",1718177189.47,1718177192.62,3.14,White
"(581, 468)",1718177018.71,1718177193.73,175.02,Red
"(581, 499)",1718177191.28,1718177194.82,3.53,Gray
"(921, 140)",1718177191.82,1718177195.34,3.52,Red
"(921, 140)",1718177195.6,1718177197.99,2.38,Red
"(674, 233)",1718177193.73,1718177197.99,4.25,White
"(766, 295)",1718177182.13,1718177200.12,18.0,White
"(923, 323)",1718177192.36,1718177200.4,8.04,Red
"(674, 233)",1718177198.26,1718177200.71,2.44,White
"(1040, 225)",1718177018.71,1718177200.99,182.27,Red
"(832, 542)",1718177018.71,1718177202.34,183.63,Red
"(358, 396)",1718177018.93,1718177203.13,184.2,Blue
"(1012, 195)",1718177194.82,1718177203.4,8.58,White
"(859, 496)",1718177019.18,1718177203.4,184.22,White
"(487, 353)",1718177018.93,1718177205.5,186.57,White
"(766, 295)",1718177200.71,1718177206.85,6.14,White
"(675, 449)",1718177018.93,1718177208.22,189.28,Black
"(487, 353)",1718177207.41,1718177209.94,2.53,White
"(923, 323)",1718177200.71,1718177210.53,9.83,Red
"(924, 445)",1718177018.71,1718177210.53,191.82,Green
"(645, 450)",1718177206.85,1718177210.53,3.68,Blue
"(765, 204)",1718177181.85,1718177213.41,31.56,Red
"(858, 311)",1718177018.71,1718177215.43,196.72,Gray
"(1014, 302)",1718177211.46,1718177216.55,5.09,White
"(921, 140)",1718177202.08,1718177216.55,14.47,Red
"(295, 478)",1718177214.01,1718177217.09,3.08,Blue
"(1107, 180)",1718177216.26,1718177219.29,3.03,Red
"(923, 323)",1718177218.47,1718177220.94,2.47,Red
"(95, 623)",1718177218.47,1718177221.22,2.75,White
"(1107, 180)",1718177220.94,1718177223.93,2.99,Gray
"(1111, 547)",1718177018.71,1718177224.46,205.75,Blue
"(1012, 195)",1718177203.92,1718177225.02,21.1,White
"(858, 449)",1718177018.71,1718177225.02,206.31,Red
"(765, 204)",1718177213.71,1718177228.04,14.33,Red
"(766, 311)",1718177018.6,1718177228.32,209.71,Blue
"(673, 187)",1718177018.71,1718177229.45,210.74,Red
"(924, 461)",1718177018.71,1718177230.26,211.55,Blue
"(487, 353)",1718177210.23,1718177230.8,20.58,White
"(1014, 302)",1718177220.12,1718177231.35,11.23,White
"(458, 477)",1718177018.71,1718177231.35,212.63,Black
"(581, 499)",1718177226.94,1718177231.63,4.68,Gray
"(200, 522)",1718177018.6,1718177231.63,213.02,Red
"(1014, 256)",1718177226.94,1718177232.2,5.26,Violet
"(738, 157)",1718177228.9,1718177233.31,4.41,Red
"(674, 233)",1718177222.04,1718177235.54,13.5,White
"(674, 264)",1718177171.51,1718177235.8,64.29,White
"(1014, 302)",1718177233.57,1718177236.6,3.03,White
"(95, 623)",1718177235.27,1718177237.42,2.15,White
"(858, 449)",1718177232.2,1718177238.53,6.33,Red
"(767, 387)",1718177018.71,1718177238.79,220.08,White
"(553, 483)",1718177018.71,1718177238.79,220.08,Unknown
"(738, 157)",1718177235.8,1718177239.07,3.27,Red
"(266, 493)",1718177018.93,1718177239.88,220.95,Gray
"(1012, 195)",1718177226.94,1718177240.15,13.21,White
"(294, 555)",1718177018.93,1718177240.15,221.22,White
"(487, 353)",1718177231.35,1718177240.42,9.07,Red
"(1108, 210)",1718177191.56,1718177240.96,49.4,Red
"(555, 297)",1718177049.96,1718177240.96,191.01,Red
"(766, 465)",1718177169.12,1718177241.51,72.39,Red
"(949, 307)",1718177170.98,1718177241.79,70.8,Red
"(674, 264)",1718177237.97,1718177242.05,4.08,White
"(1014, 302)",1718177237.14,1718177242.31,5.17,White
"(172, 569)",1718177018.6,1718177242.31,223.71,White
"(384, 586)",1718177240.15,1718177242.57,2.42,White
"(266, 586)",1718177018.71,1718177242.57,223.86,Red
"(948, 141)",1718177093.07,1718177242.84,149.77,Red
"(457, 554)",1718177018.6,1718177243.12,224.52,Red
"(646, 496)",1718177122.13,1718177243.41,121.28,Blue
"(949, 186)",1718177170.19,1718177243.67,73.48,Red
"(581, 342)",1718177171.77,1718177243.67,71.9,Red
"(765, 204)",1718177239.07,1718177244.2,5.13,Red
"(923, 430)",1718177222.84,1718177244.73,21.89,Gray
"(1040, 165)",1718177242.31,1718177244.99,2.68,White
"(487, 414)",1718177018.71,1718177244.99,226.28,White
"(738, 187)",1718177019.18,1718177245.54,226.36,Red
"(171, 600)",1718177018.6,1718177246.65,228.05,White
"(459, 384)",1718177168.06,1718177247.47,79.41,White
"(923, 323)",1718177233.31,1718177247.73,14.43,Red
"(294, 586)",1718177179.46,1718177248.52,69.06,Blue
"(1014, 256)",1718177245.82,1718177249.29,3.47,Gray
"(1040, 165)",1718177246.37,1718177249.54,3.17,White
"(923, 430)",1718177245.28,1718177249.54,4.26,Gray
"(1042, 348)",1718177248.78,1718177250.87,2.09,Red
"(487, 353)",1718177248.52,1718177250.87,2.35,Red
"(294, 555)",1718177248.52,1718177252.47,3.95,White
"(674, 233)",1718177246.1,1718177253.09,6.99,Gray
"(949, 186)",1718177249.84,1718177253.62,3.78,Red
"(1042, 348)",1718177251.14,1718177254.48,3.34,Red
"(100, 513)",1718177018.71,1718177254.74,236.03,Red
"(830, 295)",1718177166.72,1718177256.35,89.63,Blue
"(384, 586)",1718177254.22,1718177256.89,2.66,Red
"(1040, 165)",1718177254.48,1718177258.22,3.75,White
"(1014, 256)",1718177253.89,1718177258.75,4.86,Blue
"(171, 600)",1718177250.35,1718177259.79,9.44,White
"(460, 399)",1718177018.71,1718177260.58,241.87,Red
"(384, 586)",1718177257.68,1718177260.58,2.91,White
"(766, 465)",1718177252.21,1718177261.66,9.45,Red
"(581, 499)",1718177246.65,1718177263.01,16.36,Gray
"(171, 538)",1718177018.6,1718177263.01,244.41,White
"(1042, 348)",1718177260.32,1718177263.55,3.24,Red
